Startup,Industry,SubVertical,City,Investors,InvestmentType,amount(cr.),Date
DriveLoop,HealthTech,Telemedicine,Mumbai,Peak XV,Pre-Series A,5.265,2022-08-28
Housejoy,Mobility,Micro Mobility,Pune,Ribbit Capital,Series A,26.73,2025-06-09
CoreConnect,E-commerce,Marketplace,Chennai,"Peak XV, Ribbit Capital",Series A,33.012,2023-11-09
UrbanSolutions,Retail,Fashion,Mumbai,"Info Edge, Ribbit Capital, Y Combinator",Series C,984.636,2024-11-06
MediSpace,E-commerce,Quick Commerce,Kolkata,"Lightspeed India, Omidyar Network",Series B,507.249,2025-02-03
GrowthCare,Media,Social,Ahmedabad,"Elevation Capital, Kedaara Capital, Nexus Venture Partners",Seed,16.974,2022-09-18
NeoSense_1062,Enterprise,Automation,Delhi,Kalaari Capital,Pre-Series A,5.283,2023-12-06
NeoLabs_1063,Enterprise,Automation,Noida,"Nexus Venture Partners, Tiger Global Management, Ventures India",Series B,143.307,2024-06-06
Housejoy,HealthTech,Diagnostics,Bengaluru,Nexus Venture Partners,Series A,28.17,2024-06-27
FreshSolutions,RealEstate,PropTech,Mumbai,Accel,Series A,66.33,2024-10-09
NeoTech,SaaS,DevTools,Chennai,Matrix Partners India,Bridge,1.089,2023-09-09
FarmFit,Mobility,EV,Noida,"Falcon Edge, Kedaara Capital",Series A,12.141,2023-03-27
AgriFit,Mobility,Ride Sharing,Mumbai,Sequoia Capital India,Series B,120.285,2020-04-01
SmartCare,Enterprise,Analytics,Delhi,"Nexus Venture Partners, Y Combinator",Series A,19.593,2021-03-18
Innovaccer,E-commerce,Grocery,Hyderabad,Kalaari Capital,Seed,1.341,2023-08-23
WorkFit,RealEstate,Home Services,Delhi,"Kedaara Capital, Tiger Global Management, Ventures India",Series A,16.947,2020-05-24
CloudLabs,AgriTech,Marketplace,Noida,SoftBank Vision Fund,Series A,10.089,2022-05-09
DriveEdge,AgriTech,Supply Chain,Mumbai,Prosus Ventures,Seed,0.477,2022-12-24
Freshworks,E-commerce,D2C,Mumbai,Nexus Venture Partners,Pre-Series A,8.748,2021-11-14
Zepto,Logistics,Last Mile,Mumbai,Y Combinator,Pre-Series A,2.412,2025-06-07
Zomato,Retail,E-Retail,Delhi,Omidyar Network,Series A,25.479,2024-11-28
NeoLabs,SaaS,HRTech,Noida,Blume Ventures,Seed,5.517,2020-07-21
UrbanDrive,Retail,Fashion,Noida,"Mirae Asset, Nexus Venture Partners",Series A,16.254,2024-12-11
MediSpace,Media,Social,Delhi,"LCatterton, Matrix Partners India, Ribbit Capital",Seed,14.967,2023-03-08
Nykaa,Media,Social,Ahmedabad,Info Edge,Pre-Series A,5.499,2022-07-26
AgriFit,Mobility,EV,Hyderabad,"Elevation Capital, IFC, Zodius Capital",Bridge,0.63,2022-12-02
Unacademy,Logistics,Supply Chain,Pune,Tiger Global,Series D,1177.047,2023-07-23
MediWorks,HealthTech,Telemedicine,Mumbai,"Sequoia Capital India, Zodius Capital",Series B,514.962,2023-02-08
Innovaccer,RealEstate,Rental Tech,Delhi,"Kedaara Capital, LCatterton, Tiger Global Management",Series A,116.235,2022-11-20
CoreConnect_1085,EdTech,Test Prep,Chennai,Matrix Partners India,Series B,164.448,2024-03-15
Razorpay,AgriTech,Smart Farming,Delhi,"Blume Ventures, LCatterton",Series B,246.51,2024-12-11
Mobikwik,Enterprise,Analytics,Noida,"Blume Ventures, Mirae Asset",Pre-Series A,1.323,2020-04-14
FreshToHome,SaaS,DevTools,Noida,Elevation Capital,Series D,4409.415,2024-10-22
AgriHive,EdTech,Test Prep,Ahmedabad,Peak XV,Pre-Series A,1.53,2025-03-05
GrowthConnect,AgriTech,Smart Farming,Bengaluru,"SoftBank Vision Fund, Y Combinator",Pre-Series A,7.884,2023-06-14
MediHive,Media,Social,Chennai,"Accel, Mirae Asset",Pre-Series A,4.014,2020-07-26
HyperLoop,Consumer Electronics,Audio,Delhi,Mirae Asset,Series C,933.309,2021-05-27
NimbusWorks,FoodTech,Cloud Kitchen,Noida,"Info Edge, Prosus Ventures",Series C,721.512,2020-08-10
FinSense,FoodTech,Cloud Kitchen,Pune,Accel,Private Equity,1530.774,2023-12-23
HealthAnalytics_1095,FoodTech,Food Delivery,Pune,"Lightspeed India, Mirae Asset, Prosus Ventures",Angel,0.072,2020-11-24
NextStack,Consumer Electronics,Smart Home,Kolkata,SoftBank Vision Fund,Series C,327.024,2024-01-02
FoodFit,Media,Content,Delhi,Nexus Venture Partners,Seed,0.891,2020-08-08
FoodSolutions,Retail,Fashion,Gurugram,Info Edge,Seed,7.983,2024-08-26
MediSpace,Logistics,Supply Chain,Kolkata,Ribbit Capital,Seed,1.638,2022-05-28
